date,maxAge,endDate,totalRevenue,costOfRevenue,grossProfit,researchDevelopment,sellingGeneralAdministrative,nonRecurring,otherOperatingExpenses,totalOperatingExpenses,operatingIncome,totalOtherIncomeExpenseNet,ebit,interestExpense,incomeBeforeTax,incomeTaxExpense,minorityInterest,netIncomeFromContinuingOps,discontinuedOperations,extraordinaryItems,effectOfAccountingCharges,otherItems,netIncome,netIncomeApplicableToCommonShares,ticker
2025-06-30,1,1751241600,933792000000,0,0,,,,,0,,,0,,,0,,,,,,,398273000000,,2330.TW
2025-03-31,1,1743379200,839254000000,0,0,,,,,0,,,0,,,0,,,,,,,361564000000,,2330.TW
2024-12-31,1,1735603200,868461000000,0,0,,,,,0,,,0,,,0,,,,,,,374680000000,,2330.TW
2024-09-30,1,1727654400,759692000000,0,0,,,,,0,,,0,,,0,,,,,,,325258000000,,2330.TW
2025-06-30,1,1751241600,1793468046000,0,0,,,,,0,,,0,,,0,,,,,,,44360558000,,2317.TW
2025-03-31,1,1743379200,1644316000000,0,0,,,,,0,,,0,,,0,,,,,,,42108000000,,2317.TW
2024-12-31,1,1735603200,2130503832000,0,0,,,,,0,,,0,,,0,,,,,,,46325874000,,2317.TW
2024-09-30,1,1727654400,1854569119000,0,0,,,,,0,,,0,,,0,,,,,,,49325069000,,2317.TW
2025-06-30,1,1751241600,56730000000,0,0,,,,,0,,,0,,,0,,,,,,,10167000000,,2412.TW
2025-03-31,1,1743379200,55810000000,0,0,,,,,0,,,0,,,0,,,,,,,9800000000,,2412.TW
2024-12-31,1,1735603200,65350000000,0,0,,,,,0,,,0,,,0,,,,,,,9000000000,,2412.TW
2024-09-30,1,1727654400,55613000000,0,0,,,,,0,,,0,,,0,,,,,,,9005000000,,2412.TW
2025-06-30,1,1751241600,145547484000,0,0,,,,,0,,,0,,,0,,,,,,,-7504503000,,6505.TW
2025-03-31,1,1743379200,173267286000,0,0,,,,,0,,,0,,,0,,,,,,,3684794000,,6505.TW
2024-12-31,1,1735603200,148820054000,0,0,,,,,0,,,0,,,0,,,,,,,1294587000,,6505.TW
2024-09-30,1,1727654400,173189705000,0,0,,,,,0,,,0,,,0,,,,,,,-3082093000,,6505.TW
2025-06-30,1,1751241600,58757657000,0,0,,,,,0,,,0,,,0,,,,,,,8902530000,,2303.TW
2025-03-31,1,1743379200,57858957000,0,0,,,,,0,,,0,,,0,,,,,,,7776741000,,2303.TW
2024-12-31,1,1735603200,60386110000,0,0,,,,,0,,,0,,,0,,,,,,,8497000000,,2303.TW
2024-09-30,1,1727654400,60485000000,0,0,,,,,0,,,0,,,0,,,,,,,14472000000,,2303.TW
2025-06-30,1,1751241600,3794962000,0,0,,,,,0,,,0,,,0,,,,,,,10325725000,,2881.TW
2025-03-31,1,1743379200,108974429000,0,0,,,,,0,,,0,,,0,,,,,,,41057794000,,2881.TW
2024-12-31,1,1735603200,103454254000,0,0,,,,,0,,,0,,,0,,,,,,,29510940000,,2881.TW
2024-09-30,1,1727654400,69995000000,0,0,,,,,0,,,0,,,0,,,,,,,39995000000,,2881.TW
2025-06-30,1,1751241600,69315000000,0,0,,,,,0,,,0,,,0,,,,,,,13985000000,,2882.TW
2025-03-31,1,1743379200,71934000000,0,0,,,,,0,,,0,,,0,,,,,,,32015000000,,2882.TW
2024-12-31,1,1735603200,70956000000,0,0,,,,,0,,,0,,,0,,,,,,,7453000000,,2882.TW
2024-09-30,1,1727654400,70635000000,0,0,,,,,0,,,0,,,0,,,,,,,31057000000,,2882.TW
2025-06-30,1,1751241600,35354423000,0,0,,,,,0,,,0,,,0,,,,,,,433428000,,1101.TW
2025-03-31,1,1743379200,34956255000,0,0,,,,,0,,,0,,,0,,,,,,,527294000,,1101.TW
2024-12-31,1,1735603200,49018022000,0,0,,,,,0,,,0,,,0,,,,,,,3542618000,,1101.TW
2024-09-30,1,1727654400,41075042000,0,0,,,,,0,,,0,,,0,,,,,,,3141229000,,1101.TW
2025-06-30,1,1751241600,45387102000,0,0,,,,,0,,,0,,,0,,,,,,,-6625710000,,1301.TW
2025-03-31,1,1743379200,47202204000,0,0,,,,,0,,,0,,,0,,,,,,,50448000,,1301.TW
2024-12-31,1,1735603200,50330754000,0,0,,,,,0,,,0,,,0,,,,,,,275253000,,1301.TW
2024-09-30,1,1727654400,50492246000,0,0,,,,,0,,,0,,,0,,,,,,,-3092465000,,1301.TW
2025-06-30,1,1751241600,85096705000,0,0,,,,,0,,,0,,,0,,,,,,,-1901721000,,2002.TW
2025-03-31,1,1743379200,83170223000,0,0,,,,,0,,,0,,,0,,,,,,,243215000,,2002.TW
2024-12-31,1,1735603200,86593847000,0,0,,,,,0,,,0,,,0,,,,,,,94810000,,2002.TW
2024-09-30,1,1727654400,85615737000,0,0,,,,,0,,,0,,,0,,,,,,,-81360000,,2002.TW
2025-06-30,1,1751241600,6799341000,0,0,,,,,0,,,0,,,0,,,,,,,-1276121000,,2337.TW
2025-03-31,1,1743379200,6137000000,0,0,,,,,0,,,0,,,0,,,,,,,-873000000,,2337.TW
2024-12-31,1,1735603200,5912900000,0,0,,,,,0,,,0,,,0,,,,,,,-1551479000,,2337.TW
2024-09-30,1,1727654400,7754539000,0,0,,,,,0,,,0,,,0,,,,,,,-296427000,,2337.TW
2025-06-30,1,1751241600,150369000000,0,0,,,,,0,,,0,,,0,,,,,,,27848000000,,2454.TW
2025-03-31,1,1743379200,153312000000,0,0,,,,,0,,,0,,,0,,,,,,,29325000000,,2454.TW
2024-12-31,1,1735603200,138043000000,0,0,,,,,0,,,0,,,0,,,,,,,23789000000,,2454.TW
2024-09-30,1,1727654400,131813000000,0,0,,,,,0,,,0,,,0,,,,,,,25346000000,,2454.TW
2025-06-30,1,1751241600,86483997000,0,0,,,,,0,,,0,,,0,,,,,,,10957732000,,2603.TW
2025-03-31,1,1743379200,109970561000,0,0,,,,,0,,,0,,,0,,,,,,,27358358000,,2603.TW
2024-12-31,1,1735603200,115811709000,0,0,,,,,0,,,0,,,0,,,,,,,30698981000,,2603.TW
2024-09-30,1,1727654400,152788923000,0,0,,,,,0,,,0,,,0,,,,,,,61913180000,,2603.TW
2025-06-30,1,1751241600,51332558000,0,0,,,,,0,,,0,,,0,,,,,,,3855530000,,2610.TW
2025-03-31,1,1743379200,52772028000,0,0,,,,,0,,,0,,,0,,,,,,,4185569000,,2610.TW
2024-12-31,1,1735603200,52950819000,0,0,,,,,0,,,0,,,0,,,,,,,4009662000,,2610.TW
2024-09-30,1,1727654400,52015094000,0,0,,,,,0,,,0,,,0,,,,,,,3828100000,,2610.TW
2025-06-30,1,1751241600,47471015000,0,0,,,,,0,,,0,,,0,,,,,,,3289190000,,3045.TW
2025-03-31,1,1743379200,48167353000,0,0,,,,,0,,,0,,,0,,,,,,,3655199000,,3045.TW
2024-12-31,1,1735603200,56151861000,0,0,,,,,0,,,0,,,0,,,,,,,3451769000,,3045.TW
2024-09-30,1,1727654400,47201517000,0,0,,,,,0,,,0,,,0,,,,,,,4164425000,,3045.TW
2025-06-30,1,1751241600,32466045000,0,0,,,,,0,,,0,,,0,,,,,,,29607000,,3037.TW
2025-03-31,1,1743379200,30090000000,0,0,,,,,0,,,0,,,0,,,,,,,915000000,,3037.TW
2024-12-31,1,1735603200,29380912000,0,0,,,,,0,,,0,,,0,,,,,,,56064000,,3037.TW
2024-09-30,1,1727654400,31712154000,0,0,,,,,0,,,0,,,0,,,,,,,997140000,,3037.TW
2025-06-30,1,1751241600,259503350000,0,0,,,,,0,,,0,,,0,,,,,,,2830135000,,3036.TW
2025-03-31,1,1743379200,247424457000,0,0,,,,,0,,,0,,,0,,,,,,,2706964000,,3036.TW
2024-12-31,1,1735603200,261877604000,0,0,,,,,0,,,0,,,0,,,,,,,2536146000,,3036.TW
2024-09-30,1,1727654400,261255812000,0,0,,,,,0,,,0,,,0,,,,,,,2835990000,,3036.TW
2025-06-30,1,1751241600,24181714000,0,0,,,,,0,,,0,,,0,,,,,,,254301000,,9933.TW
2025-03-31,1,1743379200,22266724000,0,0,,,,,0,,,0,,,0,,,,,,,-1217479000,,9933.TW
2024-12-31,1,1735603200,31497948000,0,0,,,,,0,,,0,,,0,,,,,,,493023000,,9933.TW
2024-09-30,1,1727654400,28324219000,0,0,,,,,0,,,0,,,0,,,,,,,379359000,,9933.TW
2025-06-30,1,1751241600,250452020000,0,0,,,,,0,,,0,,,0,,,,,,,2185669000,,3702.TW
2025-03-31,1,1743379200,248834064000,0,0,,,,,0,,,0,,,0,,,,,,,1898216000,,3702.TW
2024-12-31,1,1735603200,231670000000,0,0,,,,,0,,,0,,,0,,,,,,,1622000000,,3702.TW
2024-09-30,1,1727654400,259068552000,0,0,,,,,0,,,0,,,0,,,,,,,2042057000,,3702.TW
2025-06-30,1,1751241600,20658022000,0,0,,,,,0,,,0,,,0,,,,,,,10179763000,,2886.TW
2025-03-31,1,1743379200,18862242000,0,0,,,,,0,,,0,,,0,,,,,,,8010792000,,2886.TW
2024-12-31,1,1735603200,18000753000,0,0,,,,,0,,,0,,,0,,,,,,,5445118000,,2886.TW
2024-09-30,1,1727654400,21904013000,0,0,,,,,0,,,0,,,0,,,,,,,8924094000,,2886.TW
2025-06-30,1,1751241600,5084333000,0,0,,,,,0,,,0,,,0,,,,,,,-1029804000,,2474.TW
2025-03-31,1,1743379200,4350288000,0,0,,,,,0,,,0,,,0,,,,,,,2916295000,,2474.TW
