date,maxAge,endDate,totalRevenue,costOfRevenue,grossProfit,researchDevelopment,sellingGeneralAdministrative,nonRecurring,otherOperatingExpenses,totalOperatingExpenses,operatingIncome,totalOtherIncomeExpenseNet,ebit,interestExpense,incomeBeforeTax,incomeTaxExpense,minorityInterest,netIncomeFromContinuingOps,discontinuedOperations,extraordinaryItems,effectOfAccountingCharges,otherItems,netIncome,netIncomeApplicableToCommonShares,ticker
2025-06-30,1,1751241600,0,0,0,,,,,0,,,0,,,0,,,,,,,1233261000000,,VRE.VN
2025-03-31,1,1743379200,0,0,0,,,,,0,,,0,,,0,,,,,,,1177398000000,,VRE.VN
2024-12-31,1,1735603200,2128000000000,0,0,,,,,0,,,0,,,0,,,,,,,1085000000000,,VRE.VN
2024-09-30,1,1727654400,2077717000000,0,0,,,,,0,,,0,,,0,,,,,,,906400000000,,VRE.VN
2025-06-30,1,1751241600,37619968659970,0,0,,,,,0,,,0,,,0,,,,,,,0,,MWG.VN
2025-03-31,1,1743379200,36134958418210,0,0,,,,,0,,,0,,,0,,,,,,,1545937090940,,MWG.VN
2024-12-31,1,1735603200,34573920777330,0,0,,,,,0,,,0,,,0,,,,,,,847004382210,,MWG.VN
2024-09-30,1,1727654400,34146668687950,0,0,,,,,0,,,0,,,0,,,,,,,0,,MWG.VN
2025-06-30,1,1751241600,16624713040070,0,0,,,,,0,,,0,,,0,,,,,,,2257433265300,,FPT.VN
2025-03-31,1,1743379200,16058140942460,0,0,,,,,0,,,0,,,0,,,,,,,2174301386530,,FPT.VN
2024-12-31,1,1735603200,17607817805890,0,0,,,,,0,,,0,,,0,,,,,,,2086993221120,,FPT.VN
2024-09-30,1,1727654400,15902821715760,0,0,,,,,0,,,0,,,0,,,,,,,2088852212410,,FPT.VN
2025-03-31,1,1743379200,17898410000000,0,0,,,,,0,,,0,,,0,,,,,,,0,,BID.VN
2024-12-31,1,1735603200,26405330000000,0,0,,,,,0,,,0,,,0,,,,,,,7328333000000,,BID.VN
2024-09-30,1,1727654400,17638133000000,0,0,,,,,0,,,0,,,0,,,,,,,5151318000000,,BID.VN
2024-06-30,1,1719705600,0,0,0,,,,,0,,,0,,,0,,,,,,,6368892000000,,BID.VN
2025-06-30,1,1751241600,16724597479550,0,0,,,,,0,,,0,,,0,,,,,,,2474585298000,,VNM.VN
2025-03-31,1,1743379200,0,0,0,,,,,0,,,0,,,0,,,,,,,1568482188100,,VNM.VN
2024-12-31,1,1735603200,15477073125440,0,0,,,,,0,,,0,,,0,,,,,,,2123649268480,,VNM.VN
2024-09-30,1,1727654400,15537337313470,0,0,,,,,0,,,0,,,0,,,,,,,0,,VNM.VN
2025-06-30,1,1751241600,15021136000000,0,0,,,,,0,,,0,,,0,,,,,,,8831885000000,,VCB.VN
2025-03-31,1,1743379200,17216423000000,0,0,,,,,0,,,0,,,0,,,,,,,8696229000000,,VCB.VN
2024-12-31,1,1735603200,17710537000000,0,0,,,,,0,,,0,,,0,,,,,,,8565388000000,,VCB.VN
2024-09-30,1,1727654400,18662830000000,0,0,,,,,0,,,0,,,0,,,,,,,8566598000000,,VCB.VN
2025-06-30,1,1751241600,8598729000000,0,0,,,,,0,,,0,,,0,,,,,,,4881159000000,,ACB.VN
2025-03-31,1,1743379200,7231178000000,0,0,,,,,0,,,0,,,0,,,,,,,3678266000000,,ACB.VN
2024-12-31,1,1735603200,7949116000000,0,0,,,,,0,,,0,,,0,,,,,,,4545364000000,,ACB.VN
2024-09-30,1,1727654400,7628576000000,0,0,,,,,0,,,0,,,0,,,,,,,3870395000000,,ACB.VN
2025-06-30,1,1751241600,36286185846410,0,0,,,,,0,,,0,,,0,,,,,,,4256754778400,,HPG.VN
2024-09-30,1,1727654400,33956260285530,0,0,,,,,0,,,0,,,0,,,,,,,3022946632050,,HPG.VN
2024-06-30,1,1719705600,0,0,0,,,,,0,,,0,,,0,,,,,,,3319263141860,,HPG.VN
2023-12-31,1,1703980800,34383804927760,0,0,,,,,0,,,0,,,0,,,,,,,2972779359270,,HPG.VN
2025-06-30,1,1751241600,6804334314780,0,0,,,,,0,,,0,,,0,,,,,,,1207496669490,,SAB.VN
2025-03-31,1,1743379200,5810728641050,0,0,,,,,0,,,0,,,0,,,,,,,793113384490,,SAB.VN
2024-12-31,1,1735603200,8932511366920,0,0,,,,,0,,,0,,,0,,,,,,,990770562860,,SAB.VN
2024-09-30,1,1727654400,7670108601210,0,0,,,,,0,,,0,,,0,,,,,,,1119097179310,,SAB.VN
2020-06-30,1,1593475200,75730519080,0,0,,,,,0,,,0,,,0,,,,,,,44885653690,,BTP.VN
2022-06-30,1,1656547200,0,0,0,,,,,0,,,0,,,0,,,,,,,51108300030,,TDM.VN
2021-09-30,1,1632960000,0,0,0,,,,,0,,,0,,,0,,,,,,,25894723730,,TDM.VN
2021-03-31,1,1617148800,92773184420,0,0,,,,,0,,,0,,,0,,,,,,,118666204250,,TDM.VN
2025-03-31,1,1743379200,1426705638830,0,0,,,,,0,,,0,,,0,,,,,,,36964143180,,NT2.VN
2024-09-30,1,1727654400,1711759896150,0,0,,,,,0,,,0,,,0,,,,,,,44304743910,,NT2.VN
2024-06-30,1,1719705600,0,0,0,,,,,0,,,0,,,0,,,,,,,122185199960,,NT2.VN
2024-03-31,1,1711843200,261906934610,0,0,,,,,0,,,0,,,0,,,,,,,0,,NT2.VN
2020-06-30,1,1593475200,6006040037340,0,0,,,,,0,,,0,,,0,,,,,,,0,,HVN.VN
2020-03-31,1,1585612800,18812989923830,0,0,,,,,0,,,0,,,0,,,,,,,-2589408489030,,HVN.VN
2025-06-30,1,1751241600,17245678000000,0,0,,,,,0,,,0,,,0,,,,,,,5877605000000,,MBB.VN
