DateTime,Link,Company,Fraud_Type,Impact_USD,Description,Country
2024-05-09,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202405140001&dtable=NewsLaw",Mutto Optronics Corporation; XX Chen,Failure to hold by-election to fill board vacancies,"NT$240,000",Failed to convene an extraordinary shareholders’ meeting within 60 days to fill board vacancies as required.,Taiwan
2024-05-06,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202405100002&dtable=NewsLaw",Capital Futures Corp.; Chen,Futures management and internal control violation,"NT$240,000","Associated person gave trading advice via LINE and the firm failed to supervise and implement internal controls, resulting in a fine and 1-month suspension.",Taiwan
2024-05-02,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202405090001&dtable=NewsLaw","OCEANIC BEVERAGES CO., INC.",Financial reporting deficiency,"NT$240,000",Filed 2023 Q4 financial statements without the required accounting manager’s signature or seal.,Taiwan
2024-04-26,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202405030002&dtable=NewsLaw","Far Eastern International Securities Co., Ltd.",Information security and internal control deficiencies,"NT$300,000",Routine audit found information security and access-control deficiencies indicating failure to implement internal controls.,Taiwan
2024-04-26,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202405100001&dtable=NewsLaw","Taiwan Cooperative Securities Co., Ltd.",Multiple compliance and internal control violations,"NT$300,000","Inspection found failures in professional-investor vetting, custody disclosures, price deviation checks, documentation for trading limits, VPN compliance, and AML reporting.",Taiwan
2024-04-02,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202404030004&dtable=NewsLaw",LEAD DATA INC,Failure to file financial statements,"NT$240,000",Failed to complete and file 2023 financial statements as required.,Taiwan
2024-04-02,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202404030003&dtable=NewsLaw","Ting Sin CO., LTD.",Failure to file financial statements,"NT$240,000",Failed to complete and file 2023 financial statements as required.,Taiwan
2024-04-02,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202404030002&dtable=NewsLaw",Mutto Optronics Corporation,Failure to file financial statements (Q3 & Q4 2023),"NT$720,000",Failed to complete 2023 Q3 and Q4 financial statements as required.,Taiwan
2024-04-01,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202404030001&dtable=NewsLaw","POWERCOM Co., Ltd.; XX Yang",Board meeting conflict-of-interest violation,"NT$240,000",Director with a spousal conflict of interest failed to disclose and recuse during a lease-renewal board decision.,Taiwan
2024-03-27,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202404020002&dtable=NewsLaw","IBF Securities Co., Ltd.; XX Chiang",Securities firm conduct and internal control violations,"NT$300,000","Audit found improper custody of clients’ passbooks and passwords, acceptance of discretionary trading, advance payments, and client fund lending, leading to a fine and 1-month suspension.",Taiwan
2024-03-27,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202404020001&dtable=NewsLaw","Hua Nan Securities Co., Ltd.; XX Wang",Customer information leakage and internal control violation,"NT$300,000","Associate leaked customer order information via LINE; the firm failed to prevent and supervise the misconduct, leading to a fine and a one-month suspension.",Taiwan
2024-03-25,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202403260001&dtable=NewsLaw",Mutto Optronics Corporation,Failure to file financial statements (Q3 2023),"NT$720,000",Failed to complete and file the 2023 Q3 financial statements as required by the Securities and Exchange Act.,Taiwan
